ts_utc,balance,equity,margin,margin_free,leverage,profit
2025-11-26 07:50:23,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 07:51:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 07:52:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 07:53:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 07:54:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 07:55:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 07:56:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 07:57:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 07:58:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 07:59:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:00:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:01:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:02:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:03:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:04:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:05:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:06:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:07:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:08:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:09:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:10:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:11:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:12:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:13:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:14:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:15:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:16:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:17:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:18:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:19:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:20:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:21:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:22:24,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:23:25,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:24:25,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:25:25,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:26:25,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:27:25,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:28:25,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:29:25,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:30:25,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:31:25,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:32:25,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:33:25,100.0,100.0,0.0,100.0,100,0.0
2025-11-26 08:34:25,100.0,100.0,0.0,100.0,100,0.0
